1	1
2	50
3	33
4	49
5	20
6	65
7	14
8	48
9	32
10	58
11	9
12	63
13	7
14	55
15	45
16	47
17	5
18	63
19	5
20	56
21	41
22	53
23	4
24	61
25	19
26	52
27	31
28	53
29	3
30	68
31	3
32	46
33	37
34	51
35	30
36	60
37	2
38	51
39	36
40	54
41	2
42	66
43	2
44	51
45	43
46	50
47	2
48	59
49	13
50	56
51	35
52	50
53	1
54	61
55	26
56	51
57	35
58	50
59	1
60	64
61	1
62	50
63	39
64	45
65	24
66	64
67	1
68	49
69	34
70	60
71	1
72	57
73	1
74	49
75	43
76	49
77	20
78	64
79	1
80	52
81	30
82	49
83	1
84	62
85	22
86	49
87	33
88	49
89	1
90	64
91	18
92	48
93	33
94	49
95	22
96	57
97	1
98	53
99	35
100	53
